fire.id	year	sever	area	fst	wind
672	1	0	306	3	180
154	3	1	645	3	180
170	5	0	888	3	180
176	5	0	2025	3	180
2018	5	0	141	3	180
195	6	1	417	3	180
198	6	1	1191	3	180
199	6	1	345	3	180
201	6	1	1447	3	180
208	6	1	111	3	180
209	6	1	465	3	180
210	6	1	394	3	180
211	6	1	358	3	180
213	6	1	472	3	180
214	6	1	2741	3	180
215	6	1	16264	3	180
216	6	1	108	3	180
218	6	1	132	3	180
221	6	1	23510	3	180
227	6	1	178	3	180
476	6	1	2592	3	180
634	6	1	1816	3	180
637	6	1	3230	3	180
1232	6	1	3311	3	180
1503	6	1	6005	3	180
256	10	1	177	3	180
259	10	1	24176	3	180
264	10	1	158	3	180
2284	12	0	88	3	180
2285	12	0	289	3	180
52	13	0	115	3	180
2144	15	1	59	3	180
2146	15	1	350	3	180
2147	15	1	73	3	180
2149	15	1	347	3	180
2152	15	1	1006	3	180
2153	15	1	162	3	180
2154	15	1	4290	3	180
2162	15	1	128	3	180
2163	15	1	238	3	180
2168	15	1	1733	3	180
2187	17	1	1136	3	180
2188	17	1	827	3	180
2189	17	1	70	3	180
2191	17	1	735	3	180
2201	17	1	434	3	180
2202	17	1	153	3	180
2226	18	1	64	3	180
2240	19	1	228	3	180
2241	19	1	135	3	180
2319	24	1	596	3	180
